Genre,Global_Sales,Critic_Score,User_Score,MetaCritic_predicted
Action,0.7299646643109541,67.82037691401649,7.090164899882215,67.23125202880085
Adventure,0.3149230769230769,66.01923076923077,7.143846153846154,67.45898729786082
Fighting,0.6477295918367347,69.88775510204081,7.308418367346939,69.15403425375185
Misc,1.069498746867168,67.66666666666667,6.869674185463659,68.00552700283048
Platform,0.930121359223301,69.92718446601941,7.348543689320388,70.79207047110192
Puzzle,0.6288976377952756,71.11023622047244,7.289763779527559,70.6010350682758
Racing,0.8037666666666666,69.50166666666667,7.084833333333333,70.45376473145143
Role-Playing,0.6925710419485792,72.71583220568336,7.599323410013532,73.13546496111049
Shooter,0.9342666666666667,70.89444444444445,7.055222222222222,71.1680609902958
Simulation,0.6758974358974359,70.0673076923077,7.195192307692308,72.052206143513
Sports,0.8769317023445463,74.03261977573904,7.1198776758409785,72.79796745830774
Strategy,0.24561643835616437,72.54109589041096,7.317123287671232,72.93801814125635
